scenario,step,energy,norm:coup:GateBenefitCoupling,weight:coup:GateBenefitCoupling,norm:coup:QuadraticCoupling,weight:coup:QuadraticCoupling,norm:local:EnergyGatingModule,weight:local:EnergyGatingModule,norm:local:SequenceConsistencyModule,weight:local:SequenceConsistencyModule,final_weight:coup:GateBenefitCoupling,final_weight:coup:QuadraticCoupling,final_weight:local:EnergyGatingModule,final_weight:local:SequenceConsistencyModule
baseline,0,0.1284212773775613,0.005625,1.2,0.25400265460988825,0.4,0.5626972946631698,2.5,0.0058609843254089355,0.25,,,,
baseline,1,0.11082936829300638,0.005625,1.2,0.26232264434736446,0.4,0.43314614950409736,2.5,0.016347301612226948,0.25,,,,
baseline,2,0.09846658532978489,0.005625,1.2,0.2665117796935571,0.4,0.3287385896246043,2.5,0.03086325135848689,0.25,,,,
baseline,3,0.08972810824317051,0.005625,1.2,0.26463469042406307,0.4,0.25270576834445996,2.5,0.05061792691329819,0.25,,,,
baseline,4,0.08336998284791647,0.005625,1.2,0.2559212444773657,0.4,0.20802236685959086,2.5,0.07558118508224372,0.25,,,,
baseline,5,0.0789780711175502,0.005625,1.2,0.24267355601265483,0.4,0.18643873848363723,2.5,0.10433488494024082,0.25,,,,
baseline,5,0.0789780711175502,,,,,,,,,1.2,0.4,2.5,0.25
gradnorm,0,0.1285468318328398,0.0028125,1.2,0.25743318473932675,0.4,0.549877656031786,2.5,0.002929888665676117,0.25,,,,
gradnorm,1,0.111301121014792,0.0028125,1.2,0.26519339379680595,0.4,0.4232304590839613,2.5,0.013963496413811722,0.25,,,,
gradnorm,2,0.20747274162532678,0.00290466796875,1.239325,0.7100331388791445,1.1763535854887666,0.23046966912986183,1.1384246898198493,0.16945891733119378,1.2366487608606853,,,,
gradnorm,5,0.20747274162532678,,,,,,,,,1.239325,1.1763535854887666,1.1384246898198493,1.2366487608606853
baseline,0,0.1676864530439699,0.0703125,1.2,0.21028905851359073,0.4,0.962022549353746,2.5,0.014673583209514618,0.25,,,,
baseline,1,0.13501698370990514,0.0703125,1.2,0.22397760093926208,0.4,0.7689962885588071,2.5,0.019141892922633748,0.25,,,,
baseline,2,0.11138368511204969,0.0703125,1.2,0.23617641789573063,0.4,0.6047710521661159,2.5,0.025454751790353027,0.25,,,,
baseline,3,0.09516466027288814,0.0703125,1.2,0.2459124214831067,0.4,0.46680537756412294,2.5,0.03463448265983395,0.25,,,,
baseline,4,0.08464749937959594,0.0703125,1.2,0.2512997768507998,0.4,0.35561273835495144,2.5,0.04843086742769485,0.25,,,,
baseline,5,0.07787975961525537,0.0703125,1.2,0.24911422314371257,0.4,0.27889398408087596,2.5,0.06916662310905626,0.25,,,,
baseline,6,0.07331450392884314,0.0703125,1.2,0.23779670963217747,0.4,0.24578501843862868,2.5,0.09667946246046359,0.25,,,,
baseline,7,0.07075516478178796,0.0703125,1.2,0.22264485082770663,0.4,0.2343667302557485,2.5,0.12792982933656072,0.25,,,,
baseline,8,0.07036189323103527,0.0703125,1.2,0.20980179004214822,0.4,0.2101968232363399,2.5,0.1619104417034815,0.25,,,,
baseline,9,0.07032575338200611,0.0703125,1.2,0.21250377176095317,0.4,0.23949548270834542,2.5,0.1466912576980755,0.25,,,,
baseline,10,0.07026651330174868,0.0703125,1.2,0.2158857866056477,0.4,0.21229859765745712,2.5,0.14832048037574058,0.25,,,,
baseline,11,0.07024129896801612,0.0703125,1.2,0.21312205063380857,0.4,0.22504596766176377,2.5,0.14998190930430438,0.25,,,,
baseline,12,0.07023982277359103,0.0703125,1.2,0.21398036513415686,0.4,0.2182570642197117,2.5,0.15037006096948888,0.25,,,,
baseline,13,0.07023737075879402,0.0703125,1.2,0.21332714723734675,0.4,0.22157381319947428,2.5,0.15066756462077494,0.25,,,,
baseline,14,0.07271465778865183,0.0703125,1.2,0.222280390042454,0.4,0.1235869907925822,2.5,0.16489979059053333,0.25,,,,
baseline,30,0.07271465778865183,,,,,,,,,1.2,0.4,2.5,0.25
gradnorm,0,0.14538776482890897,0.047812499999999994,1.2,0.2190515236280094,0.4,0.7975954561563882,2.5,0.022551588714122772,0.25,,,,
gradnorm,1,0.11934959910057764,0.047812499999999994,1.2,0.23193188354759314,0.4,0.6283050034015378,2.5,0.028063356024814672,0.25,,,,
gradnorm,2,0.17237935014123956,0.04894904296875,1.228525,0.6163594516988703,1.1843363479485776,0.3178558168562885,1.089206799183631,0.24051568249217828,1.2332647945540445,,,,
gradnorm,30,0.17237935014123956,,,,,,,,,1.228525,1.1843363479485776,1.089206799183631,1.2332647945540445
