run_id,config,delta_f90_steps,wall_time_sec,energy_final,total_backtracks,sg_rho,sg_dw
sg_final_baseline_rho0.5_dw0.05,smallgain,9,0.01296560000628233,-0.007356723863890262,10,0.5,0.05
sg_final_baseline_rho0.5_dw0.1,smallgain,10,0.008442899910733104,-0.020079493664337807,10,0.5,0.1
sg_final_baseline_rho0.5_dw0.2,smallgain,7,0.00988969998434186,-0.018973480194820775,13,0.5,0.2
sg_final_baseline_rho0.7_dw0.05,smallgain,9,0.009369300096295774,-0.007356723863890262,10,0.7,0.05
sg_final_baseline_rho0.7_dw0.1,smallgain,10,0.006828700075857341,-0.020079493664337807,10,0.7,0.1
sg_final_baseline_rho0.7_dw0.2,smallgain,7,0.008909999975003302,-0.018973480194820775,13,0.7,0.2
sg_final_baseline_rho0.9_dw0.05,smallgain,9,0.010401799925602973,-0.007356723863890262,10,0.9,0.05
sg_final_baseline_rho0.9_dw0.1,smallgain,10,0.007211500080302358,-0.020079493664337807,10,0.9,0.1
sg_final_baseline_rho0.9_dw0.2,smallgain,7,0.00893410004209727,-0.018973480194820775,13,0.9,0.2
sg_final_dense_rho0.5_dw0.05,smallgain,20,0.1334523999830708,-0.09472169698306492,147,0.5,0.05
sg_final_dense_rho0.5_dw0.1,smallgain,12,0.08923919999506325,-0.0937001703047728,92,0.5,0.1
sg_final_dense_rho0.5_dw0.2,smallgain,8,0.08309210010338575,-0.08785067248310251,0,0.5,0.2
sg_final_dense_rho0.7_dw0.05,smallgain,20,0.08393980003893375,-0.09472169698306492,147,0.7,0.05
sg_final_dense_rho0.7_dw0.1,smallgain,12,0.08851729996968061,-0.0937001703047728,92,0.7,0.1
sg_final_dense_rho0.7_dw0.2,smallgain,8,0.11105109995696694,-0.08785067248310251,0,0.7,0.2
sg_final_dense_rho0.9_dw0.05,smallgain,20,0.09079940000083297,-0.09472169698306492,147,0.9,0.05
sg_final_dense_rho0.9_dw0.1,smallgain,12,0.1028476000064984,-0.0937001703047728,92,0.9,0.1
sg_final_dense_rho0.9_dw0.2,smallgain,8,0.1101962000830099,-0.08785067248310251,0,0.9,0.2
